start_time, request_type, latency(ms), response_code
2021-02-09 11:03:04.111,POST,280,201
2021-02-09 11:03:04.111,POST,280,201
2021-02-09 11:03:04.111,POST,280,201
2021-02-09 11:03:04.111,POST,280,201
2021-02-09 11:03:04.111,POST,280,201
2021-02-09 11:03:04.111,POST,280,201
2021-02-09 11:03:04.111,POST,280,201
2021-02-09 11:03:04.111,POST,280,201
2021-02-09 11:03:04.392,POST,3,201
2021-02-09 11:03:04.392,POST,4,201
2021-02-09 11:03:04.392,POST,4,201
2021-02-09 11:03:04.393,POST,3,201
2021-02-09 11:03:04.392,POST,4,201
2021-02-09 11:03:04.392,POST,5,201
2021-02-09 11:03:04.392,POST,5,201
2021-02-09 11:03:04.392,POST,5,201
2021-02-09 11:03:04.396,POST,3,201
2021-02-09 11:03:04.396,POST,3,201
2021-02-09 11:03:04.396,POST,3,201
2021-02-09 11:03:04.396,POST,3,201
2021-02-09 11:03:04.396,POST,4,201
2021-02-09 11:03:04.397,POST,4,201
2021-02-09 11:03:04.397,POST,4,201
2021-02-09 11:03:04.397,POST,6,201
2021-02-09 11:03:04.399,POST,5,201
2021-02-09 11:03:04.399,POST,5,201
2021-02-09 11:03:04.399,POST,6,201
2021-02-09 11:03:04.401,POST,5,201
2021-02-09 11:03:04.4,POST,6,201
2021-02-09 11:03:04.401,POST,5,201
2021-02-09 11:03:04.399,POST,7,201
2021-02-09 11:03:04.405,POST,3,201
2021-02-09 11:03:04.404,POST,4,201
2021-02-09 11:03:04.403,POST,5,201
2021-02-09 11:03:04.406,POST,3,201
2021-02-09 11:03:04.405,POST,5,201
2021-02-09 11:03:04.406,POST,4,201
2021-02-09 11:03:04.406,POST,5,201
2021-02-09 11:03:04.406,POST,5,201
2021-02-09 11:03:04.408,POST,4,201
2021-02-09 11:03:04.408,POST,5,201
2021-02-09 11:03:04.409,POST,4,201
2021-02-09 11:03:04.408,POST,6,201
2021-02-09 11:03:04.41,POST,4,201
2021-02-09 11:03:04.411,POST,3,201
